Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link1,0,7.73940626185152E-18,0.0943086092715232,0,0,0,5.6925658883047,0.0253978911460265,-5.19141599830795E-51,-8.47850573713574E-35,0.0253978911460265,5.84007442267779E-20,0.0263516791783112,0,0,0,0,0,0,package://robotarm/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/link1.STL,,link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link2,0.0994051462871014,-4.39507041871678E-11,1.61421868932957E-08,0,0,0,0.968515917956123,0.00101098741855169,-4.24067273865609E-12,8.95948128514241E-11,0.00130687061897204,3.92629041664754E-10,0.00125061992464247,0,0,0,0,0,0,package://robotarm/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/link2.STL,,link2-1,Origin_joint1to2,Axis_joint1to2,joint1to2,continuous,0,0,0.2152,1.5707963267949,0,0,link1,0,1,0,0,0,0,0,,,,,,,,
link3,-1.63143103748542E-08,0.1755,2.64244421609409E-07,0,0,0,1.28853409511538,0.022686909508374,5.64445715793553E-19,3.22100359901118E-09,0.00137829240474618,-3.00514315005634E-19,0.0225743861223479,0,0,0,0,0,0,package://robotarm/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/link3.STL,,link3-1,Origin_joint2to3,Axis_joint2to3,joint2to3,continuous,0.1624,0,0,0,0,0,link2,1,0,0,0,0,0,0,,,,,,,,
link4,-0.0812000000000019,-1.11022302462516E-16,1.71845661893685E-18,0,0,0,1.18174149257434,0.000883642048860509,-1.45583746962657E-35,2.82850736616679E-36,0.00796527652302551,3.26265223399926E-52,0.00796527652302551,0,0,0,0,0,0,package://robotarm/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/link4.STL,,link4-1,Origin_joint3to4,Axis_joint3to4,joint3to4,continuous,0,0.351,0,0,0,0,link3,1,0,0,0,0,0,0,,,,,,,,
link5,1.15137702988831E-08,-0.175599997418416,2.25121599863398E-07,0,0,0,1.28909961850142,0.0227161468686484,6.51842272813438E-10,-3.22480744280282E-09,0.00137854681548726,5.50711970014189E-09,0.022603623568969,0,0,0,0,0,0,package://robotarm/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/link5.STL,,link5-1,Origin_joint4to5,Axis_joint4to5,joint4to5,fixed,-0.1624,0.3512,0,0,0,0,link4,0,0,0,0,0,0,0,,,,,,,,
link6,-0.0889221693652386,9.19930298604044E-09,9.67011043676775E-08,0,0,0,1.20648390273837,0.00141049786190329,-4.78535096826722E-12,-1.50596997323671E-10,0.00750318533563848,-2.22975998606996E-10,0.00738627403646384,0,0,0,0,0,0,package://robotarm/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/link6.STL,,link6-1,Origin_joint5to6,Axis_joint5to6,joint5to6,continuous,0.162399999999994,0,0,0,0,0,link5,1,0,0,0,0,0,0,,,,,,,,
link7,-4.94980884613305E-08,-0.0701300869037302,-6.31668961434475E-08,0,0,0,0.869909136744433,0.00355831006646369,-3.18908705115779E-12,2.62810393495205E-10,0.0010013970608803,1.20370999840181E-10,0.0034916422873186,0,0,0,0,0,0,package://robotarm/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/link7.STL,,link7-1,Origin_joint6to7,Axis_joint6to7,joint6to7,continuous,0,0.112399999999999,0,0,0,0,link6,0,1,0,0,0,0,0,,,,,,,,
link8,0.000716655966193719,4.44089209850063E-16,-1.31625882989554E-14,0,0,0,0.509047523656065,0.000402319698175284,-9.86796921791136E-21,-5.52704359251747E-22,0.000620169294447699,1.27626649220071E-21,0.000620258587978795,0,0,0,0,0,0,package://robotarm/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/link8.STL,,link8-1,Origin_joint7to8,Axis_joint7to8,joint7to8,continuous,0,0,0,0,0,0,link7,1,0,0,,,,,,,,,,,,
catcher_upper,0.0656098312131476,-1.26899448669336E-06,-0.00120275562544814,0,0,0,0.0721393119023468,4.01563504909644E-05,6.84080453210754E-10,2.60311513377705E-05,0.000115493336932486,-1.09173285640063E-10,0.000121277102746438,0,0,0,0,0,0,package://robotarm/meshes/catcher_upper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/catcher_upper.STL,,catcher2-1,Origin_joint_upper,Axis_joint_upper,joint_upper,continuous,0.05,0,0,-1.5707963267949,0,0,link8,0,1,0,0,0,0,0,,,,,,,,
catcher_lower,0.0580523081979434,4.42398017655441E-15,-0.00910627395656016,0,0,0,0.0344733076025474,9.30676907422634E-06,-1.91336386927655E-19,1.22495716377402E-05,5.29028118093175E-05,1.23533533200873E-19,4.53469406988352E-05,0,0,0,0,0,0,package://robotarm/meshes/catcher_lower.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotarm/meshes/catcher_lower.STL,,catcher1-1,Origin_joint_lower,Axis_joint_lower,joint_lower,continuous,0.0600000000000061,-0.00750000000000006,0,1.5707963267949,0,0,link8,0,1,0,0,0,0,0,,,,,,,,
